Date,SP,Marker,Nests,Left Tag,Rigth Tag,Nº Nido,NORTE ,ESTE,,,
2020-04-16,Ei,2,N,,,DB001Ei,9.42860,-82.31816,,Nidos Ei,156
2020-05-03,Ei,Cate & Alex,N,,,DB002Ei,9.43225,-82.30115,,,
2020-05-17,Ei,9,N,,,DB003Ei,9.42797,-82.31212,,,
2020-05-20,Ei,1,N,,,DB004Ei,9.42874,-82.31879,,,
2020-05-20,Ei,1,N,,,DB005Ei,9.42877,-82.31893,,,
2020-05-24,Ei,2,N,,,DB006Ei,9.42870,-82.31874,,,
2020-05-26,Ei,12,N,,,DB007Ei,9.42817,-82.30878,,,
2020-05-26,Ei,10,N,,,DB008Ei,9.42797,-82.31094,,,
2020-05-27,Ei,3,N,,,DB009Ei,9.42850,-82.31773,,,
2020-05-27,Ei,4,N,,,DB010Ei,9.42830,-82.31626,,,
2020-05-29,Ei,3,N,,,DB011Ei,9.42830,-82.31727,,,
2020-05-31,Ei,3,N,CH11701,CH11702,DB012Ei,9.42838,-82.31705,,,
2020-06-01,Ei,3,N,,,DB013Ei,9.42845,-82.31745,,,
2020-06-02,Ei,3,N,,,DB014Ei,9.42839,-82.31725,,,
2020-06-03,Ei,3,N,,,DB015Ei,9.42840,-82.31691,,,
2020-06-04,Ei,1,N,,,DB016Ei,9.42875,-82.31916,,,
2020-06-05,Ei,3,N,,,DB017Ei,9.72839,-82.31724,,,
2020-06-05,Ei,1,N,,,DB018Ei,9.42886,-82.31923,,,
2020-06-05,Ei,1,N,,,DB019Ei,9.42885,-82.31921,,,
2020-06-05,Ei,-,N,,,DB020Ei,9.43185,-82.30225,,,
2020-06-08,Ei,11,N,,,DB021Ei,9.42797,-82.31000,,,
2020-06-11,Ei,4,N,,,DB022 Ei,9.42831,-82.31651,,,
2020-06-12,Ei,9,N,,,DB023Ei,9.42798,-82.31202,,,
2020-06-14,Ei,2,N,,,DB024Ei,9.42859,-82.31809,,,
2020-06-14,Ei,2,N,,,DB025Ei,9.42861,-82.31853,,,
2020-06-14,Ei,1,N,,,DB026Ei,9.42887,-82.31912,,,
2020-06-15,Ei,Gundula,N,,,DB027Ei,9.43138,-82.30410,,,
2020-06-16,Ei,Gundula,N,,,DB028Ei,9.43147,-82.30401,,,
2020-06-16,Ei,9,N,,,DB029Ei,9.42795,-82.31226,,,
2020-06-17,Ei,-,N,,,DB030Ei,9.43165,-82.30254,,,
2020-06-17,Ei,2,N,,,DB031Ei,9.42855,-82.31834,,,
2020-06-18,Ei,Gundula,N,,,DB032Ei,9.43146,-82.30407,,,
2020-06-18,Ei,10,N,,,DB033Ei,9.42795,-82.31093,,,
2020-06-19,Ei,10,N,,,DB034Ei,9.42795,-82.31097,,,
2020-06-20,Ei,4,N,,,DB035Ei,9.42831,-82.31652,,,
2020-06-21,Ei,2,N,,,DB036Ei,9.42856,-82.31802,,,
2020-06-22,Ei,5,N,,,DB037Ei,9.42824,-82.31579,,,
2020-06-23,Ei,2,N,,,DB038Ei,9.42854,-82.31813,,,
2020-06-27,Ei,16,N,,,DB039Ei,9.42979,-82.30621,,,
2020-06-28,Ei,8,N,,,DB040Ei,9.42801,-82.31308,,,
2020-06-28,Ei,4,N,,,DB041Ei,9.42839,-82.31677,,,
2020-06-28,Ei,3,N,,,DB042Ei,9.42848,-82.31762,,,
2020-06-28,Ei,2,N,,,DB043Ei,9.92859,-82.31796,,,
2020-06-28,Ei,2,N,,,DB044Ei,9.92853,-82.31794,,,
2020-06-29,Ei,3,N,,,DB045Ei,9.42855,-82.31760,,,
2020-07-01,Ei,1,N,,,DB046Ei,9.42917,-82.31937,,,
2020-07-01,Ei,1,N,,,DB047Ei,9.42878,-82.31911,,,
2020-07-01,Ei,Gundula,N,,,DB048Ei,9.43152,-82.30379,,,
2020-07-02,Ei,9,N,,,DB049Ei,9.42796,-82.31207,,,
2020-07-02,Ei,2,N,,,DB050Ei,9.31873,-82.31867,,,
2020-07-03,Ei,2,N,,,DB051Ei,9.42867,-82.31867,,,
2020-07-04,Ei,-,N,,,DB052Ei,9.43171,-82.30239,,,
2020-07-04,Ei,8,N,,,DB053Ei,9.42797,-82.31266,,,
2020-07-05,Ei,Gundula,N,,,DB054Ei,9.43146,-82.30396,,,
2020-07-06,Ei,1,N,,,DB055Ei,9.42905,-82.31932,,,
2020-07-06,Ei,16,N,,,DB056Ei,9.43018,-82.30760,,,
2020-07-06,Ei,Gundula,N,,,DB057Ei,9.43145,-82.30379,,,
2020-07-08,Ei,2,N,,,DB058Ei,9.42853,-82.31818,,,
2020-07-09,Ei,3,N,,,DB059Ei,9.42839,-82.31725,,,
2020-07-09,Ei,3,N,,,DB060Ei,9.42838,-82.31735,,,
2020-07-10,Ei,1,N,,,DB061Ei,9.42876,-82.31917,,,
2020-07-10,Ei,10,N,,,DB062Ei,9.42791,-82.31073,,,
2020-07-11,Ei,1,N,,,DB063Ei,9.42874,-82.31904,,,
2020-07-12,Ei,Gundula,N,,,DB064Ei,9.43155,-82.30365,,,
2020-07-13,Ei,Cate & Alex,N,,,DB065Ei,9.43227,-82.30122,,,
2020-07-14,Ei,2,N,,,DB066Ei,9.42828,-82.31518,,,
2020-07-14,Ei,5,N,,,DB067Ei,9.42794,-82.31177,,,
2020-07-14,Ei,9,N,,,DB068Ei,,,,,
2020-07-14,Ei,14,N,,,DB069Ei,9.42886,-82.30708,,,
2020-07-14,Ei,Gundula,N,,,DB070Ei,9.43162,-82.30295,,,
2020-07-15,Ei,4,N,,,DB071Ei,9.42830,-82.31624,,,
2020-07-15,Ei,1,N,,,DB072Ei,9.42877,-82.31919,,,
2020-07-15,Ei,1,N,,,DB073Ei,9.42876,-82.31920,,,
2020-07-15,Ei,9,N,,,DB074Ei,9.42797,-82.31204,,,
2020-07-15,Ei,10,N,,,DB075Ei,9.42793,-82.31091,,,
2020-07-16,Ei,4,N,,,DB076Ei,9.42840,-82.31678,,,
2020-07-16,Ei,16,N,,,DB077Ei,9.43008,-82.30790,,,
2020-07-16,Ei,Cate & Alex,N,,,DB078Ei,9.43230,-82.30116,,,
2020-07-17,Ei,1,N,,,DB079Ei,9.42877,-82.31923,,,
2020-07-18,Ei,10,N,,,DB080Ei,9.42792,-82.31062,,,
2020-07-18,Ei,Gundula,N,,,DB081Ei,9.43160,-82.30355,,,
2020-07-18,Ei,Gundula,N,,,DB082Ei,9.43164,-82.30321,,,
2020-07-20,Ei,1,N,,,DB083Ei,9.42876,-82.31909,,,
2020-07-21,Ei,8,N,,,DB084Ei,9.42295,-82.31256,,,
2020-07-22,Ei,3,N,,,DB085Ei,9.42850,-82.32733,,,
2020-07-22,Ei,1,N,,,DB086Ei,9.28790,-82.31915,,,
2020-07-22,Ei,Gundula,N,,,DB087Ei,9.43150,-82.30389,,,
2020-07-23,Ei,3,N,,,DB088Ei,9.47845,-82.31715,,,
2020-07-23,Ei,11,N,,,DB089Ei,9.42793,-82.31023,,,
2020-07-25,Ei,8,N,,,DB090Ei,9.42755,-82.31266,,,
2020-07-26,Ei,Gundula,N,,,DB091Ei,9.43158,-82.30371,,,
2020-07-26,Ei,Gundula,N,,,DB092Ei,9.43158,-82.30347,,,
2020-07-27,Ei,Gundula,N,,,DB093Ei,9.43166,-82.30325,,,
2020-07-28,Ei,10,N,,,DB095Ei,9.42803,-82.31122,,,
2020-07-29,Ei,2,N,,,DB094Ei,9.42875,-82.31871,,,
2020-07-29,Ei,11,N,,,DB096Ei,9.42792,-82.31035,,,
2020-07-29,Ei,12,N,,,DB097Ei,9.42825,-82.20894,,,
2020-07-29,Ei,Gundula,N,,,DB098Ei,9.43164,-82.30329,,,
2020-07-30,Ei,Gundula,N,,,DB099Ei,9.43163,-82.30333,,,
2020-07-30,Ei,8,N,,,DB100Ei,9.42818,-82.34326,,,
