sample,date,day,Time,e2,vtg,t,output,curved carapace length,straight carapace length
Cm20-01,22/06/20,22-Jun,18:30,7,58,42,150,81.96,83.96
Cm20-02,08/07/20,6-Jul,21:57,7,134,45,127,87.86,80.5
Cm20-05,13/07/20,13-Jul,23:42,13,399,79,158,88.7,80.8
Cm20-06,13/07/20,13-Jul,22:25,15,147,27,,89.5,76.3
Cm20-07,14/07/20,14-Jul,21:57,9,743,40,,81.27,
Cm20-08,25/07/20,25-Jul,0:27,7,754,69,115,83.53,79.9
Cm20-10,28/07/20,28-Jul,22:12,9,503,57,126,87.6,73
Cm20-11,28/07/20,28-Jul,23:03,10,115,95,160,88.13,81.4
CM10,08/07/18,8-Jul,0:21,15,637,70,154,92.3,79.54
CM17,16/07/18,16-Jul,22:01,7,524,56,133,83.36,86.9
CM21,17/07/18,17-Jul,22:15,9,,98,161,81.76,76.26
CM24,20/07/18,20-Jul,23:33,9,491,57,,90.53,78.4
CM25,21/07/18,21-Jul,0:58,10,307,54,,90.43,84.06
CM29,22/07/18,22-Jul,3:18,15,424,76,99,84.2,84.7
CM35,26/07/18,26-Jul,4:52,6,98,85,106,84.5,82.8
CM51,30/07/18,30-Jul,5:52,7,507,72,115,81.3,76.26
Cm20-12,08/08/20,8-Aug,0:43,15,222,72,88,,78.4
Cm20-13,08/08/20,8-Aug,22:27,6,,52,118,84.13,84.06
Cm20-15,10/08/20,10-Aug,22:27,6,,93,127,79,84.7
Cm20-18,11/08/20,11-Aug,5:27,11,84,79,139,85.5,82.8
Cm20-19,11/08/20,11-Aug,3:00,14,475,45,167,83.6,79.53
CM60,02/08/18,2-Aug,1:33,15,825,93,,83.8,75.9
CM62,02/08/18,2-Aug,0:59,8,434,32,164,84.1,NA
CM63,03/08/18,3-Aug,23:37,11,644,42,,81.9,83.96
CM67,05/08/18,5-Aug,0:39,11,193,29,180,86.2,80.5
CM72,07/08/18,7-Aug,0:41,5,13,75,,80.7,80.8
CM75,12/08/18,12-Aug,1:20,15,876,79,135,93.5,76.3
CM77,13/08/18,13-Aug,3:05,10,,61,163,84.7,
CM79,16/08/18,16-Aug,21:10,8,463,45,110,82.7,79.9
CM80,17/08/18,17-Aug,21:39,6,109,89,124,84.3,73
CM82,29/08/18,29-Aug,22:32,10,333,51,76,84,81.4
CM84,01/09/18,1-Sep,23:54,8,852,75,205,83.5,79.54
CM86,10/09/18,10-Sep,0:35,6,133,50,134,88.1,85.3
CM87,10/09/18,10-Sep,1:37,14,366,55,,80.8,NA
Cm20-22,09/09/20,9-Sep,21:40,8,346,43,,83.9,78
Cm20-27,11/09/20,11-Sep,22:31,7,154,50,69,85.1,83.5
Cm20-28,12/09/20,12-Sep,22:12,9,881,48,149,84.43,77.4
Cm20-30,13/09/20,13-Sep,21:44,13,,42,158,84.13,86.2
Cm20-33,16/09/20,16-Sep,22:40,12,154,33,149,82.7,82.6
Cm20-37,19/09/20,19-Sep,22:46,6,504,87,122,87.4,76.7
Cm20-39,21/09/20,21-Sep,0:09,12,407,52,129,NA,NA
Cm20-40,21/09/20,21-Sep,21:15 (09:15),6,873,53,158,85.13,78.6
Cm20-41,25/09/20,25-Sep,21:39,7,631,83,,85.15,79.1
Cm20-45,28/09/20,28-Sep,21:24,14,634,62,186,83.6,NA
Cm20-47,28/09/20,28-Sep,21:10,10,365,80,199,83.43,76
Cm20-49,28/09/20,28-Sep,23:30,9,545,56,154,90.66,79.6
CM93,18/10/18,18-Oct,21:41,5,440,55,144,82.7,81.3
Cm20-52,02/10/20,2-Oct,23:46,10,708,42,138,81.93,NA
Cm20-54,02/10/20,2-Oct,21:10,10,718,29,,86.63,80
Cm20-56,03/10/20,3-Oct,0:35,11,,33,194,89.5,NA
Cm20-57,03/10/20,3-Oct,1:37,11,54,54,145,81.27,83.83
Cm20-59,05/10/20,5-Oct,21:40,11,701,62,124,83.53,81.4
Cm20-61,05/10/20,5-Oct,22:31,7,77,32,183,87.6,79.54
Cm20-62,06/10/20,6-Oct,22:12,10,254,81,,88.13,85.3
Cm20-63,06/10/20,6-Oct,21:44,7,750,78,,92.3,NA
Cm20-64,06/10/20,6-Oct,22:40,5,439,42,157,83.36,78
Cm20-67,08/10/20,8-Oct,22:46,9,456,39,194,81.76,83.5
Cm20-68,08/10/20,8-Oct,3:00,11,295,88,122,90.53,77.4
Cm20-72,10/10/20,10-Oct,1:33,8,812,98,104,90.43,86.2
Cm20-73,10/10/20,10-Oct,0:59,7,106,72,100,84.2,82.6
Cm20-74,13/10/20,13-Oct,23:37,12,198,97,89,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
