"","taxon","reference_no","subfamily","Tribe","Genus","Fossil","min_ma","max_ma","Notes"
"1","Agroecomyrmex_duisburgi",44414,"Agroecomyrmecinae","None","Agroecomyrmex","Yes",33.9,38,"Note"
"2","Eulithomyrmex_rugosus",4971,"Agroecomyrmecinae","None","Eulithomyrmex","Yes",33.9,37.2,"Note"
"3","Eulithomyrmex_striatus",4971,"Agroecomyrmecinae","None","Eulithomyrmex","Yes",33.9,37.2,"Note"
"4","Ambyloponinae",59088,"Ambyloponinae","None","None","Yes",20.44,23.03,"Note"
"5","Amblyoponini",53165,"Ambyloponinae","Amblyoponini","Amblyoponini","Yes",20.44,23.03,"Note"
"6","Casaleia_eocenica",43781,"Ambyloponinae","None","Casaleia","Yes",40.4,48.6,"Note"
"7","Casaleia_inversa",41286,"Ambyloponinae","None","Casaleia","Yes",5.333,15.97,"Note"
"8","Casaleia_longiventris",37344,"Ambyloponinae","None","Casaleia","Yes",11.608,12.7,"Note"
"9","Casaleia_orientalis",56094,"Ambyloponinae","None","Casaleia","Yes",33.9,38,"Note"
"10","Myopopone_sinensis",16579,"Ambyloponinae","None","Myopopone","Yes",11.608,15.97,"Note"
"11","Stigmatomma_electrina",44602,"Ambyloponinae","None","Stigmatomma","Yes",33.9,38,"Note"
"12","Stigmatomma_groehni",44602,"Ambyloponinae","None","Stigmatomma","Yes",33.9,38,"Note"
"13","Aneuretellus_deformis",44404,"Aneuretinae","None","Aneuretellus","Yes",41.3,47.8,"Note"
"14","Britaneuretus_anglicus",37729,"Aneuretinae","None","Britaneuretus","Yes",33.9,38,"Note"
"15","Burmomyrma_rossi",39313,"Aneuretinae","None","Burmomyrma","Yes",93.5,99.6,"Note"
"16","Cananeuretus_occidentalis",36535,"Aneuretinae","None","Cananeuretus","Yes",70.6,83.5,"Note"
"17","Mianeuretus",44418,"Aneuretinae","None","Mianeuretus","Yes",46.2,50.3,"Note"
"18","Mianeuretus_eocenicus",44418,"Aneuretinae","None","Mianeuretus","Yes",46.2,50.3,"Note"
"19","Mianeuretus_mirabilis",4971,"Aneuretinae","None","Mianeuretus","Yes",33.9,37.2,"Note"
"20","Paraneuretus_dubovikoffi",56094,"Aneuretinae","None","Paraneuretus","Yes",33.9,38,"Note"
"21","Paraneuretus_longicornis",40999,"Aneuretinae","None","Paraneuretus","Yes",33.9,38,"Note"
"22","Paraneuretus_tornquisti",40999,"Aneuretinae","None","Paraneuretus","Yes",33.9,38,"Note"
"23","Pityomyrmex_tornquisti",40999,"Aneuretinae","None","Pityomyrmex","Yes",33.9,38,"Note"
"24","Protaneuretus_succineus",40999,"Aneuretinae","None","Protaneuretus","Yes",33.9,38,"Note"
"25","Archaeopone_kzylzharica",37059,"Armaniinae","None","Archaeopone","Yes",89.8,93.9,"Note"
"26","Archaeopone_taylori",35238,"Armaniinae","None","Archaeopone","Yes",70.6,83.5,"Note"
"27","Armania",39728,"Armaniinae","None","Armania","Yes",89.8,93.9,"Note"
"28","Armania_capitata",39728,"Armaniinae","None","Armania","Yes",89.8,93.9,"Note"
"29","Armania_curiosa",35238,"Armaniinae","None","Armania","Yes",70.6,83.5,"Note"
"30","Armania_pristina",39728,"Armaniinae","None","Armania","Yes",89.8,93.9,"Note"
"31","Armania_robusta",35238,"Armaniinae","None","Armania","Yes",70.6,83.5,"Stem Ant?"
"32","Dolichomyrma_latipes",37059,"Armaniinae","None","Dolichomyrma","Yes",89.8,93.9,"Note"
"33","Dolichomyrma_longiceps",37059,"Armaniinae","None","Dolichomyrma","Yes",89.8,93.9,"Note"
"34","Khetania_mandibulata",39728,"Armaniinae","None","Khetania","Yes",89.8,93.9,"Note"
"35","Orapia_minor",38353,"Armaniinae","None","Orapia","Yes",89.8,93.9,"Note"
"36","Orapia_rayneri",38353,"Armaniinae","None","Orapia","Yes",89.8,93.9,"Note"
"37","Poneropterus_sphecoides",35238,"Armaniinae","None","Poneropterus","Yes",70.6,83.5,"Note"
"38","Pseudarmania_aberrans",35238,"Armaniinae","None","Pseudarmania","Yes",70.6,83.5,"Stem Ant?"
"39","Pseudarmania_rasnitsyni",35238,"Armaniinae","None","Pseudarmania","Yes",70.6,83.5,"Stem Ant?"
"40","Brownimecia_clavata",5815,"Brownimeciinae","","Brownimecia","Yes",89.8,93.9,"Note"
"41","Alloiomma_changweiensis",16579,"Dolichoderinae","None","Alloiomma","Yes",11.608,15.97,"Note"
"42","Alloiomma_differentialis",36942,"Dolichoderinae","None","Alloiomma","Yes",11.608,15.97,"Note"
"43","Asymphylomyrmex_balticus",40999,"Dolichoderinae","None","Asymphylomyrmex","Yes",33.9,38,"Note"
"44","Azteca",49381,"Dolichoderinae","","Azteca","Yes",15.97,23.03,"Note"
"45","Azteca_alpha",5207,"Dolichoderinae","","Azteca","Yes",13.82,20.44,"Note"
"46","Azteca_eumeces",5207,"Dolichoderinae","","Azteca","Yes",13.82,20.44,"Note"
"47","Chronomyrmex_medicinehatensis",47972,"Dolichoderinae","None","Chronomyrmex","Yes",70.6,83.5,"Note"
"48","Ctenobethylus_goepperti",38999,"Dolichoderinae","None","Ctenobethylus","Yes",28.4,33.9,"Note"
"49","Dolichoderinae",34859,"Dolichoderinae","None","None","Yes",5.333,7.246,"Note"
"50","Dolichoderus",8673,"Dolichoderinae","None","Dolichoderus","Yes",5.333,55.8,"Note"
"51","Dolichoderus_(Hypoclinea)_passalomma",44557,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"52","Dolichoderus_affectus",38999,"Dolichoderinae","None","Dolichoderus","Yes",28.4,33.9,"Note"
